timestamp_ms,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
7746,19.35,-52.95,-10.41,-54.15,-69.15,1.45,-76.80,-77.55,96.80,-13.95,-98.55,37.03
8600,19.35,-52.80,-10.41,-53.85,-69.45,0.97,-76.80,-77.55,96.80,-14.55,-98.85,37.03
9454,19.35,-52.80,-10.16,-53.85,-69.15,1.69,-76.80,-77.70,96.07,-14.25,-98.25,37.51
10313,19.05,-52.80,-10.89,-53.85,-69.15,0.97,-76.80,-78.15,96.80,-14.10,-99.00,36.78
11167,18.90,-52.50,-10.41,-54.00,-69.15,1.69,-76.65,-77.55,96.56,-14.70,-98.70,37.03
12021,19.35,-52.65,-9.92,-53.55,-69.00,0.97,-76.95,-77.40,96.80,-14.25,-98.85,36.78
12880,19.35,-52.95,-10.65,-54.00,-69.00,0.97,-76.95,-77.70,96.32,-14.25,-98.40,37.27
13734,19.05,-53.10,-10.89,-54.15,-68.70,0.97,-77.40,-77.25,96.80,-14.40,-98.70,37.03
14588,20.25,-53.10,-10.41,-52.95,-74.40,7.74,-78.45,-77.40,97.53,-13.65,-98.55,37.03
15447,20.10,-53.40,-10.16,-52.80,-73.95,6.78,-77.70,-77.55,98.01,-13.95,-98.85,37.99
16301,20.55,-52.95,-9.44,-52.50,-73.20,7.50,-78.15,-77.25,97.28,-14.25,-99.30,37.27
17155,20.25,-53.25,-9.68,-52.65,-73.80,7.02,-78.00,-77.55,98.01,-13.95,-99.30,37.27
18014,19.95,-53.25,-9.68,-52.20,-73.35,6.53,-77.55,-77.10,97.77,-13.50,-98.70,37.03
18868,20.10,-53.10,-9.68,-51.30,-71.55,0.00,-77.85,-78.60,97.53,-12.15,-93.00,43.56
19722,20.40,-54.30,-9.92,-52.95,-71.10,0.73,-76.80,-78.60,97.28,-13.95,-93.90,42.11
20581,19.80,-54.00,-9.92,-53.25,-70.80,1.69,-77.10,-78.75,97.04,-13.80,-94.20,40.90
21435,20.10,-53.55,-10.16,-53.25,-70.65,1.94,-76.95,-79.05,98.01,-14.25,-93.90,40.66
22289,19.95,-53.70,-10.16,-53.25,-70.20,1.21,-77.25,-78.45,97.28,-14.25,-93.30,41.14
23148,19.50,-53.40,-10.16,-53.55,-70.05,0.97,-77.10,-79.05,97.04,-14.10,-93.60,41.87
24002,20.10,-53.70,-9.92,-53.40,-70.20,0.73,-77.25,-77.85,96.56,-13.05,-96.60,37.99
24856,21.00,-52.80,-10.16,-52.95,-72.45,-1.21,-78.00,-76.80,97.53,-13.65,-96.75,38.24
25715,20.70,-52.80,-9.92,-52.20,-75.00,-1.45,-78.30,-77.10,97.28,-13.35,-97.05,38.48
26569,20.70,-52.65,-10.41,-51.45,-75.45,-1.94,-78.00,-76.95,96.80,-13.35,-96.45,37.99
27423,20.55,-52.50,-10.16,-52.05,-74.85,-1.69,-77.85,-77.25,96.80,-13.35,-96.60,38.24
28282,20.10,-52.80,-9.92,-52.20,-75.45,-1.94,-77.55,-77.10,97.04,-13.20,-96.15,37.75
29136,20.70,-52.80,-10.41,-52.20,-74.70,-1.69,-77.55,-77.55,97.28,-13.80,-96.90,37.51
29990,23.55,-43.65,-11.13,-54.30,-69.90,-1.69,-79.05,-75.15,96.56,-14.40,-95.70,37.51
30849,24.00,-44.55,-12.34,-54.15,-70.80,-1.94,-78.45,-75.90,97.04,-14.40,-96.75,37.03
31703,23.40,-46.20,-12.10,-54.00,-70.65,-1.94,-78.45,-76.35,97.04,-14.10,-96.60,37.03
32557,23.10,-46.95,-12.10,-54.45,-71.10,-1.69,-78.60,-75.60,96.80,-14.40,-96.90,37.03
