timestamp_ms,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
393650,2.55,-23.85,-7.26,-58.80,-29.10,-3.15,-58.05,-41.40,115.19,21.75,-51.30,-8.95
394504,3.00,-23.55,-7.74,-58.80,-29.10,-3.63,-57.45,-41.70,115.19,22.20,-51.75,-8.47
395363,3.00,-24.00,-7.50,-58.65,-29.25,-3.39,-57.90,-41.70,115.43,22.35,-51.45,-8.23
396217,3.00,-23.55,-8.23,-58.80,-28.95,-3.15,-57.75,-41.40,114.95,21.90,-51.45,-8.95
397071,2.85,-23.70,-7.26,-58.65,-28.95,-3.63,-57.75,-41.55,115.19,22.05,-51.45,-8.47
397930,3.45,-23.85,-7.26,-58.95,-28.95,-2.90,-57.75,-41.40,114.47,21.90,-51.15,-8.71
398784,3.30,-22.35,-7.74,-58.95,-28.95,-3.87,-57.00,-41.40,116.40,22.05,-51.45,-8.71
399638,3.30,-22.80,-7.74,-58.50,-29.40,-4.11,-47.70,-40.35,114.95,22.50,-51.30,-8.95
400497,3.60,-23.55,-7.26,-58.65,-30.00,-3.63,-47.10,-40.95,114.71,22.20,-51.30,-8.23
401351,3.60,-24.00,-7.99,-58.80,-28.95,-4.11,-48.00,-40.65,114.47,22.20,-51.30,-8.95
402205,3.30,-24.15,-8.47,-58.65,-28.80,-4.11,-47.85,-39.75,114.71,22.20,-51.60,-8.71
403064,3.75,-24.75,-8.23,-58.35,-29.25,-3.87,-48.00,-39.60,114.47,22.20,-51.45,-8.23
403918,3.75,-23.85,-7.50,-58.50,-29.70,-3.87,-48.15,-40.05,117.37,22.20,-51.15,-8.47
404772,9.60,-22.95,-2.42,-58.35,-31.05,-4.11,-57.60,-40.50,116.89,21.90,-51.15,-8.23
405631,14.70,-17.70,0.24,-58.35,-29.70,-3.63,-57.00,-40.05,115.68,21.60,-51.45,-8.23
406485,14.70,-18.30,0.00,-58.80,-29.70,-3.87,-57.45,-40.35,115.68,21.75,-51.15,-7.99
407339,13.05,-20.70,-1.21,-58.80,-29.25,-3.63,-57.75,-40.95,115.92,21.90,-51.75,-8.47
408198,13.05,-21.90,-1.21,-58.95,-28.65,-3.63,-57.15,-40.95,115.43,21.75,-50.70,-8.23
409052,12.45,-21.75,-0.97,-59.10,-30.00,-3.15,-58.05,-40.80,117.37,21.90,-51.30,-8.23
409906,10.80,-23.40,-2.18,-58.50,-30.15,-3.87,-62.40,-32.25,121.73,22.35,-54.30,-11.37
410765,4.35,-23.70,-8.47,-58.95,-28.05,-2.66,-62.40,-34.05,122.21,22.50,-53.70,-10.41
411619,4.05,-23.85,-7.99,-58.65,-29.10,-3.39,-61.80,-35.40,122.94,23.40,-53.10,-9.68
412473,4.20,-23.70,-8.23,-58.80,-28.20,-2.90,-60.45,-36.45,123.90,23.25,-53.40,-9.92
413332,4.05,-24.15,-8.71,-58.20,-28.20,-3.39,-61.65,-34.35,124.39,22.95,-52.35,-7.50
414186,3.00,-23.55,-8.23,-58.95,-27.60,-2.90,-59.40,-40.65,121.00,26.25,-37.80,-10.41
415040,2.85,-23.25,-7.74,-58.65,-28.35,-3.15,-59.55,-41.25,120.03,29.10,-38.10,-10.89
415899,3.30,-23.25,-7.99,-59.10,-28.35,-3.39,-59.70,-40.95,119.79,29.40,-41.85,-7.50
416753,3.45,-22.65,-7.26,-58.95,-28.35,-2.90,-59.25,-41.10,119.31,29.10,-43.65,-8.71
417607,3.90,-22.50,-6.53,-58.80,-28.50,-3.39,-59.10,-40.95,119.06,28.05,-44.85,-8.23
418466,4.20,-22.35,-6.53,-59.10,-27.75,-3.39,-58.95,-41.40,118.58,28.65,-52.80,-27.10
