timestamp_ms,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
39404,16.50,-49.95,-6.78,-53.70,-67.35,4.11,-78.75,-79.50,96.80,-17.10,-85.95,-4.11
40258,16.20,-49.95,-7.26,-53.85,-67.35,4.11,-78.60,-79.35,96.80,-17.55,-85.65,-3.87
41117,16.05,-50.10,-7.50,-53.85,-67.35,4.60,-78.60,-79.20,96.80,-17.55,-85.65,-4.11
41971,15.90,-49.95,-7.02,-53.70,-67.50,4.60,-79.65,-77.85,98.74,-17.10,-87.90,-0.73
42825,14.85,-48.90,-7.26,-54.60,-66.90,4.84,-80.25,-78.60,98.98,-17.25,-88.05,2.18
43684,15.00,-50.10,-6.53,-54.00,-67.50,3.39,-79.80,-78.75,97.77,-16.80,-86.85,-0.73
44538,15.90,-49.95,-6.29,-54.15,-67.20,4.11,-78.90,-79.35,97.28,-17.25,-86.85,0.24
45392,15.75,-50.25,-6.78,-54.00,-67.35,3.63,-79.65,-79.50,96.80,-17.10,-86.55,0.24
46251,16.35,-49.35,-6.29,-53.85,-67.20,4.11,-79.35,-79.35,96.80,-16.95,-87.00,-0.48
47105,16.05,-49.95,-7.02,-54.00,-66.90,4.11,-79.80,-79.20,96.56,-16.65,-86.85,-0.73
47959,15.60,-50.10,-6.53,-54.30,-67.20,4.11,-79.20,-79.35,96.80,-17.25,-87.00,-0.48
48818,15.75,-49.95,-6.78,-54.45,-66.60,4.11,-78.75,-79.35,97.28,-17.25,-87.15,0.00
49672,15.75,-49.65,-7.02,-54.15,-67.05,3.63,-79.20,-79.05,97.04,-17.55,-86.70,0.24
50526,15.60,-49.50,-7.02,-54.00,-67.20,4.11,-79.35,-79.05,97.04,-17.25,-87.15,-0.24
51385,15.75,-49.80,-6.78,-54.15,-67.20,4.36,-79.35,-78.90,97.28,-17.40,-87.75,2.18
52239,15.90,-49.20,-6.78,-54.00,-67.05,3.87,-80.40,-79.20,100.43,-19.80,-90.75,-1.45
53093,15.90,-49.05,-6.29,-52.80,-67.50,5.08,-79.65,-80.40,100.43,-19.80,-90.75,-1.45
53952,16.50,-49.05,-6.78,-52.50,-67.35,4.84,-79.65,-79.20,100.91,-20.40,-88.50,-2.18
54806,16.20,-49.65,-6.29,-52.80,-67.80,5.32,-80.25,-79.05,100.19,-20.40,-88.65,-2.18
55660,16.35,-49.65,-7.02,-52.65,-67.95,5.08,-80.40,-79.35,100.19,-20.40,-89.10,-1.94
56519,16.05,-49.95,-6.29,-52.65,-67.95,5.08,-80.70,-78.90,100.43,-20.85,-89.55,-1.94
57373,16.20,-49.35,-6.53,-52.80,-67.95,5.08,-80.10,-79.35,99.95,-20.40,-89.70,-1.94
58227,16.20,-49.35,-6.05,-52.80,-67.65,5.57,-80.10,-79.35,100.67,-20.70,-90.00,-1.69
59086,16.35,-49.65,-7.02,-52.50,-67.65,5.32,-80.10,-79.35,101.16,-20.70,-89.10,-1.69
59940,15.75,-49.05,-6.29,-52.50,-67.65,5.08,-80.25,-79.50,101.16,-21.00,-90.30,-1.69
60794,16.65,-49.80,-6.05,-52.65,-67.80,5.08,-80.55,-79.50,100.91,-20.10,-89.85,-0.48
61653,16.35,-49.35,-6.29,-53.55,-67.80,4.11,-80.70,-76.95,100.19,-20.25,-88.50,6.53
62507,16.80,-49.20,-5.81,-52.95,-70.20,4.36,-82.35,-73.20,98.74,-14.55,-80.40,7.26
63361,18.60,-48.60,-5.57,-53.40,-73.05,5.81,-84.75,-71.55,100.43,-18.60,-86.55,2.90
64220,20.25,-47.85,-7.02,-54.00,-72.75,6.05,-83.85,-72.60,99.95,-12.75,-77.85,0.48
65074,20.10,-48.30,-6.78,-53.40,-72.45,5.32,-84.45,-70.80,100.91,-15.45,-85.95,2.42
65928,20.85,-48.75,-6.78,-53.70,-72.15,7.02,-82.80,-73.95,101.64,-15.75,-83.40,5.32
66787,19.80,-47.85,-7.26,-53.40,-72.60,6.05,-82.35,-73.65,101.16,-16.35,-87.75,5.57
67641,19.95,-48.45,-7.74,-52.95,-72.60,7.26,-81.00,-75.45,100.67,-15.75,-89.10,6.53
68495,20.10,-48.75,-6.53,-52.95,-71.40,6.53,-82.05,-73.35,100.67,-16.20,-88.80,6.53
69354,20.40,-48.30,-6.53,-53.10,-71.70,6.29,-81.60,-73.95,101.16,-16.20,-88.35,6.29
70208,20.40,-48.75,-6.78,-52.50,-71.70,6.05,-82.20,-73.65,100.91,-15.45,-88.05,8.71
71062,20.25,-48.30,-6.29,-52.35,-72.45,6.53,-80.85,-77.25,99.46,-18.90,-94.80,5.81
71921,17.70,-49.20,-7.26,-53.40,-72.30,4.36,-80.70,-75.45,103.82,-17.70,-86.10,-7.50
72775,21.00,-45.45,-4.11,-52.65,-73.35,6.29,-79.50,-73.05,101.64,-21.15,-86.55,3.63
73629,20.40,-46.05,-4.84,-52.05,-72.90,6.05,-79.20,-73.95,102.12,-22.50,-90.15,1.69
74488,21.00,-45.30,-3.87,-52.50,-73.50,6.05,-79.35,-74.25,102.37,-22.50,-91.05,1.69
75342,19.95,-45.90,-4.84,-52.05,-73.05,7.02,-79.05,-75.30,102.37,-22.80,-91.65,1.45
76196,19.95,-46.05,-4.11,-52.05,-73.35,6.78,-79.35,-74.40,102.12,-23.10,-91.80,0.97
77055,20.70,-45.75,-3.63,-52.65,-73.35,8.23,-79.50,-75.60,102.85,-23.10,-91.95,0.97
77909,21.00,-45.60,-3.63,-52.50,-72.45,7.50,-79.80,-74.55,102.37,-22.50,-92.10,1.21
78763,21.45,-45.00,-3.39,-52.35,-73.20,8.47,-80.70,-74.25,102.37,-22.95,-91.80,1.69
79622,21.90,-45.15,-3.15,-51.90,-72.45,7.74,-79.50,-75.15,101.88,-22.65,-91.95,1.21
80476,21.90,-45.00,-2.66,-52.20,-72.60,7.50,-78.30,-76.05,102.61,-22.65,-91.95,1.69
81330,20.40,-46.35,-3.63,-51.75,-72.15,7.50,-79.20,-74.70,102.61,-22.05,-91.50,6.05
82189,17.85,-50.40,-7.26,-52.50,-69.15,4.11,-81.15,-74.40,102.61,-20.10,-87.15,-3.63
83043,18.60,-48.00,-5.57,-53.25,-73.80,4.11,-82.05,-73.20,100.67,-21.15,-90.90,-3.63
83897,23.70,-38.85,-3.15,-52.20,-73.65,3.63,-77.25,-72.45,98.49,-22.05,-87.75,-5.08
84756,23.55,-39.75,-3.39,-52.35,-74.25,3.39,-77.85,-73.05,99.95,-22.50,-88.50,-5.08
85610,24.60,-37.80,-3.15,-52.80,-73.80,3.63,-78.60,-73.35,99.70,-22.95,-88.35,-5.08
